account,nonce,index,credential_creation_date,credential_valid_to_date,credential_count,total_balance,unlocked_balance,locked_balance,baker_id,staked_amount,restake_earnings,pool_status,pool_metadata_url,pool_transaction_commission,pool_finalization_commission,pool_baking_commission,delegation_target
3Bd2m1js7XQgt2cqsH27E43JXmCRDdzbWWtGjC3QtUVFRg83ya,1,14,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
3AXptodggm3sMz9qiByhpQNqDHb8dVn3BWtPHh27L5L4srR7FT,1,73,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
3A3iGdndLHEurpQpch6VrwS5YGWxazCUpfQdfZyT3foZd3hpUa,1,112,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
38ugVUiqn7nQPEsLr5PYBpzoaB9Mrh8iWXA51J8cVCGoXDnjcJ,1,82,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
38XGvXFqnEmoPSgv26bWPx7MCSgLdJZDcSC3zYPKwzFSsc1Ryi,1,36,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
38T2PSXK6JVqNmoGqzjtnYsyb76uuNYKSpEoA8vPdtmRmpZhAv,3,11,2021-05-01,2026-05-01,3,13994898.72319,13994898.72319,0.0,,,,,,,,,
37yP28tXhpAo6RixQskqM3k2uYYmsuV1r6rcYww4S3i3vwHsFQ,1,72,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
36h8h4Usiu5uoawLyvbVrY7dCWiTdYRiQPmnQ7tFk1rKV627rQ,1,105,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
352fpazuGSTXeeRFve7BkDkVzUfBPfT1orJggNnvHk72qRBYV3,1,74,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
34eZC3vnz6hgWDXkh6LeR7dxo8nVWfWLr8r7WKnMtg5U1Ggh9u,1,47,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
34T1otYMGAYsYrq4JFxXANfS3QF19tShFNbWr75zTHv1t3TEpw,1,81,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
33ARkprdCcve8VpWbhdDDpjzwb5sXaxG84NUMisjWLBVyGrCoV,1,32,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
32yXYNhpHiLrJBQ2M39cFi3LTBKMAG94t3S9jYW4Xx2jyiiKBe,1,102,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
32jTsKCtpGKr56WLweiPJB6jvLoCgFAHvfXtexHeoovJWu2PBD,1,10,2021-05-01,2026-05-01,3,475580003.0,475580003.0,0.0,,,,,,,,,
31cxb6bRfSTvKfd7Ssk2dSMRbybf4vGXaSg4P68yKjU6awoucb,1,87,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
2y1MWEc4vxYoJeK6aut3HorbazwmV8pcU5hoMXytUEK6e5Pgfa,1,54,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
2xKDpRzaqUeSEeo3Bcaq7HRKmRaKRoz2KSY7DSsp9qGZdKfiLM,9,17,2021-06-01,2026-06-01,1,2500.0,2500.0,0.0,17,2500.0,True,open_for_all,,0.0,0.0,0.0,
